구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
우육면 진짜 맛있어요,분짜 진짜 맛있어요! 제가 먹어본 분짜 중에 제일 맛있어요ㅎㅎ,맛있어요 ~~,"감자 고로케가 맛있어서 타르타르 소스와도 잘 어울렸어요!
고로케 옆에 샐러드도 상큼하게 같이 먹었습니다 ♥

육회의 신선함도 그러한데 간장 소스가 엄청 맛있어요!
짭쪼름한 맛이랄까?
이 곳의 스테디 셀러이자 베스트 셀러인 이유가 있었습니다 :)

유케동 & 유케멘(육회비빔라면)은 평일 런치시간(~15:00)에 9천원으로 먹을 수 있어요!
아무래도 육회는 회전률이 중요하다보니 육회메뉴만 런치할인을 하는 듯 합니다~

돈코츠라멘은 면발도 쫄깃하니 맛있고,숙주도 듬뿍 들어가있어서 더 개운한 느낌~
숙취해소 아침 식사로도 좋을 듯 합니다 ㅎ",,,"맛있어용!!
매장도 분위기 좋아서 잘 먹었습니당",돈까스 맛있어요~~~~,"인테리어 넘 신기하고
올 때마다 맛있어요!!ㅎㅎㅎ
이모님들도 친절하십니당",화장실이 깔끔하고 음식도 맛있게 잘 먹었어요,다이어트 할 땐 부담없이 올 수 있는 곳이라서 좋아요! 메뉴판에 단백질이 몇 그람인지 써져있어서 메뉴 선택할 때 도움이 됩니당,,"음식이 다 너무 맛있고 매장도 넓고 쾌적해서
다음엔 부모님 모시고 오려구요",맛있어요
남편이랑 평일 오후 둘이 방문해서 오붓하게 맛있게 먹었어요^^,최애 똠양쌀국수??????,굿,"오랫만에 방문했는데 여전히 신선하고 맛있어요!
사장님도 친절하시고 밥 다 먹고 추가해먹는 버터밥까지 완벽한 한끼였습니다??????",,,웻지감자가 없어서 아쉽지만 맛있오요,경양식 항상 먹는 곳이에요,맛있어요!,너무 맛있어용?? 사장님 너무 친절하시고 좋았어요 잘먹었습니다????,맛dori,,"신촌맛집 손에 꼽는데 그 한손에 꼽힐만큼 구성이 좋은 해탄한상이었어요.
해탄한상은 3인분에서 4인분되는 것 같은데
4명이서 이 가격이면
진짜 가성비에 가심비 한상 인정합니다.
다음에는 점심시간에 방문해서 공기밥도 무한리필받고, 점심특선메뉴로 먹으려고요!!",맛저녁 모임
맛있어요 맛집이네요,,모든 메뉴 맛있게 잘 먹었음 저녁 먹으려면 6시 전에 가야 기다림 없이 먹을 수 있음,"요새 다 바테이블이라 모임하기가 힘들었는데
여기는 좌석이 좋아요",,,,너무 맛있는 음식,맛나요,잘먹었습니다 ^^,맛있게 잘 먹었습니다,,푸짐하고맛있어요,"삼막이,갈막이,닭껍이 메뉴가 다양하게 조합되어 있어서 좋아요. 삼겹살은 정말 도톰하게 나와서 너무 맛있고, 막창도 맛있고요.ㅠㅠ 화로상회 다른 지점만 가봤는데 신촌점도 역시 맛있네요. 마무리로 냉면까지ㅋㅋ 친구들하고 배부르게 잘 먹었어요ㅎㅎ"
,고기를 바로 구워서 따뜻할때와 구워놓은 거라 차가울때가 있어서 맛의 기복이 살짝 있고 야채양도 어쩔때는 풍성하고 어쩔때는 좀 부족하지만.. 분짜는 왠만하면 다 맛있긴하죠 ㅎㅎㅎ 역시 대학가라서 그런지 분짜를 파는 다른 가게에 비해 여러가지로 가성비 갑입니다 ^^*,"분위기도 좋고 음식맛도 좋습니다
정갈하고 만족스러워요",맛있어요,,,"치킨이 너무 맛있었어요. 직원들도 친절했어요. 무엇을 먹어야 할지 모른다면, 꼭 여기 와보세요!",알찬 구성에 맛도 좋아요~,맛있게 잘 먹었습니다 ㅎㅎ,"홍대점도 가봤는데 신촌점하고 그대로 맛있어요!
가게도 깨끗하고 직원분들도 친절 하세요.",맛이써용!!,,"오적회관에서 해탄으로 리뉴얼되고 첫 방문이었는데 매장 인테리어도 깔끔하고 무엇보다 음식이 하나같이 다 너무 맛있었어요 ???? 꽃삼겹수육 + 오징어볶음 + 오징어무침 + 오징어튀김 나오는 세트메뉴로 주문했는데 오징어볶음은 불맛 가득한게 완전 밥도둑이고..튀김은 갓튀긴 튀김 말해 뭐해요..튀김옷은 얇은데 오징어는 두꺼워서 완전 대만족 ! 그리고 오징어랑 해산물 전문이라길래 수육은 큰 기대 안했는데 수육까지 존맛탱 ? 잡내 1도 안나고 부들부들하고 같이 나온 오징어무침이랑 백김치, 그리고 새우젓소스이나 간장와사비 소스에 찍어먹으면 꿀맛이에요 ?? 식사메뉴로도 술안주로도 완전 추천 !!!!! 재방문의사 100% 입니다 !",고기질 좋고 맛있어요
,"기본 이상의 맛
면사리 추가 무료

* 단 위생은 살짝 아숩","너무 맛있어서 종종 오곤 해요!! 그런데 4월1일 오늘 18시경에 또 먹으려고 왔는데 알바분 대처가 정말 아쉽네요,,, 30분을 넘게 기다려서 밥 먹고 나왔습니다ㅠㅠ 여쭤보니 한 메뉴는 다른 테이블이랑 주문이 겹쳤는데 헷갈려서 늦게 온 테이블 먼저 가져다 주시고 그건 헷갈릴 수 있는 부분이라고 생각해요 근데 다른 한 메뉴는 아예 주문도 안 넣으셨더라구요,,,, 저희보다 훨씬 늦게 온 옆테이블은 저희보다 먼저 음식 나와서 맛있게 먹기 시작하는데 짜증도 엄청 많이 나고 힘들었네요ㅠㅠ","유케동 육회대박이예용
밥이랑 양념 육회 넘 잘 어울려용
김치치즈가츠동 하나도 안느끼하고 돈까스 맛있어용
가라아게는 진짜 미쳤어용
바삭 짭짤
칠리소스에 찍어먹으면 신세계예용 꼭 드세용",,,치킨 향기에 못 이겨서 지나가다가 먹으러 왔는데 최고의 선택이었어요 넘 맛납니당,돈까스 맛이 담백하고 깔끔해요! 땡초도 너무 맵지 않고 적당히 매콤해서 좋았어요. 양도 적당하네요 고추장불고기도 은은한 불향이 돌면서 맛있고 쌈싸서 먹으니 환상이에요! 직원분들도 친절하고 인테리어나 분위기도 좋아요 완전 추천입니다,맛있어요:),,"리모델링하고 매장이 더 깨끗해져서 좋아요! 메뉴도 다양해졌네요!
곰탕도 궁금해서 다음에 와서 먹어보고 싶어요ㅎㅎ",,"너무 맛있게 잘 먹었습니다.
다음에 또 올게요~ 감사합니다!

일하는 분이 너무 친절하세요ㅜ",늦게갔는데도 꽤 오래 기다렸다가 먹었어요! 맛있어서 가끔 찾는 고기 맛집??
굳굳,"살면서 저의 쌀국수1번은 미x당 이었는데..
연대세브란스진료땜에 신촌갔다가 찾은 콜롬버스의 대발견
생각치도못하게 너무맛있었고 그동안 먹었던 쌀국수계를
한그릇이 평정했어요~여기생각만하면 침이가득고입니다.
알고보니 가격도 근처 쌀국수집중 가장저렴해요
딱한가지 아쉬웠던건 면1회추가가 되는데 너무빨리
넣다빼서 다익지도않은 딱딱면을주시네요
그거빼곤 훌륭합니다 오늘방문예정!",굿,"대학가 근처라 가성비 좋고 음식 깔끔하고 맛있어요
의외로 돈부링모노 유케동 진짜 쫄깃하고 맛있었어요",,,추억의아웃닭 오랜만에 왔는데 여전히맛있네용,,맛있어요 손님이 많은 이유가 있네요,맛잇어요,파스타는 처음인데 기대되요 주위에서 많이 먹더라구요 친구들도 맛있다그러고 먹어보고 후기도 다시 적을께요,,음식이 참맛있습니다~굿!,"곱창이 조금씩 들어가있는데
별미처럼 맛있네요~!!"
굳,음식이 맛있어요~,크림파스타의 크림 많아서 진짜 감동한바가지... 크림덕후에겐 넘 맛있었던 시간이었습니다.,"아 진짜 너무 맛있었어요!!!
동생이랑 같이가ㅆ는데 동생은 유케동 저는 김치가츠동을 각각 맛있다고 했어요!! 근데 제일 맛있었던건 사실 고로케에요..!! 첫입 베어물었을때 미친줄알았어요 너무 맛있어서요!!!! 그리고 값도 싸서 가성비도 좋아요",,,넘 맛있어요~??,"맛있어요♡
친구들이나 지인들이랑 가볍게 밥 먹으러 오기 좋은 것 같아요:)",맛있어요 닭한마리 추천합니다,맛있게 먹구왔어요,신선하고 양도 많아요!! 자주 오는데 빨리 나와서 좋고 항상 맛있어요!,,처음 먹엇는데 양도많고 칼칼하니 진짜 맛나요 가족끼리도 굿일듯요~^^,굳굳
"샤오롱바오, 마파두부 먹었구요..

샤오롱바오는 바닥에 붙어서
한 절반은 먹기도 전에 육즙이 다빠집니다..
그리고 너무 미지근해서 육즙이 질척해요

마파두부는 좀 더 매콤한 맛을 기대했는데
전혀 매콤하지는 않고
그부분은 그냥 취향 문제니까 그럴 수 있다 치는데
맛이 무슨 다 불린 라면 맛이었어요..
먹으면서 계속 아 어디서 먹어본 맛인데 싶다가
밥 넣어서 비비니까 기억이 나더라구요...

그리고 마파두부 별로 저렴한 가격도 아닌데
밥이 별도로 추가금 주고 시켜야합니다..

리뷰들 보고 괜찮아보이길래 식사하러 들렀는데
엉망인 기분으로 나왔네요

전체적으로 비추입니다",쌀국수맛집이라고소개받고방문했는데진짜맛집이었어요 같이간지인은베트남에서먹은거보다맛있다고할정도! 주문도요리도베트남분이하셔서그런지진짜맛있었슺니다!,"너무 황당해서 태어나서 처음으로 리뷰라는걸 써봄.
사장님께서 빌지순서를 잘못꽂았다는 이유로 30분 이상 메뉴가 나오지 않았으며, 우리보다 늦게온 팀 메뉴가 먼저 나오기도 함.
이에 대한 사장님의 제대로된 사과도 받지 못하였으며, 얼마냐 걸리냐는 질문에 5분 안에 만들어주겠다해서 어이가 없었음.
더군다나 5분만에 나온 음식 맛은 오일파스타는 맹하고, 크림파스타 소스는 그냥 생크림맛, 튀김은 한입먹고 먹기를 포기할 정도 였음. 결론은 먹는 양보다 남는 양이 더 많았고, 가격이 저렴한 편이 아니라는 이유로 꾸역꾸역 먹어주는 남자친구한테 상당히 미안해하며 나옴.",맛있는데 조금 짜요,,,"순살치킨 맛있습니다.
다른데서는 치킨 안 먹어요",자주오는곳이에요 너무 맛있어요!!,진짜 맛있어요!!! 잡내가 아예없어요!!! 최고!,세트3번의 알찬구성으로 너무 맛있게 먹었습니당!!,건강한 음식 먹으러 자주와요!!‘ 음식도 빨리 나오는 편이고 가격도 비싸지는 않아서 너무 좋아요 맛도 당연히 좋습니다!!! 가게도 청결하고 혼밥할수있어서 만족스러워용,,정말 너무 맛있어요~~~ 오징어볶음이 이렇게 맛있는 곳은 처음이에요! 불향최고! 양도 많아서 그냥 밥으로도 안주로도 최고에요!,너무 좋아요
"샤오롱바오 (7개) 7,500원.

만두피 안의 육즙이 새지 않게
한입에 먹어야 하는데요.

바닥이 눌러붙어 찢어져서
3개는 먹기도 전에 육즙이 샛어요.",모든 메뉴가 다 맛있어서 종종 생각나는 곳,굿,유케동이 너무 달아요,,,짱이에요! 죽을고비 넘기고 왓심다,맛있어요! 돈까스도 불백도 굿굿,쌀쌀한 날씨 때문에 몸이 허했는데 뜨끈한 국물로 에너지 보충 잘하고 갑니다! 진한 국물과 닭고기가 너무 맛있었어요!!,"항상 갈비찜이 땡길때는 여기만 와요~ 주기적으로 자꾸 생각나는 맛입니다ㅎㅎ
고기도 부드러운데다 양도 많고 세트구성도 알차서 굿굿
가격도 이정도면 너무 착한듯..ㅎㅎ 가성비 갑입니다 정말!!",빨리나오고 맛있어욤 ㅋ,,,맛납니당
괜찮아요,호띠우 생각나면 방문합니다.,피칸테 맛있어서 자주가요 ㅎ,"오랜만에 갔더니 웨이팅이 없어서 좋았다
애매한 시간에 갔나보다
유케동 주문
밥에 육회와 노른자가 나온다
챱챱 비벼서 싹싹 긁어먹었다
맛이 변하지 않아서 좋았다",,,아 진짜 5년만에왔는데 너무맛있어요 여기 제 최애에요 아웃닭 너무맛있어요 ㅠㅠ,"맛있어요~! 동생이랑 지나가가 들렸어요~!!
ㅎㅎ 또 올예정~~!!","쌀쌀한날 뜨끈하게 닭한마리 먹으니 몸 보신 되는 것 같아요!
양도 푸짐하고 건강하고 맛있는 맛이에요-!!","매운걸 그렇게 많이 안좋아하는데 여기는 계속 생각나는 맛이예요ㅠㅠ 맛있게 매운 맛?
그리고 맵기조절도 가능해서 맵찔이도 먹을수있어요ㅎㅎ
고기도 부드럽고 양도 많고 맛도 있어 제가 자주 오는 맛집입니다 넘 좋아용??",좋아요 항상 맛있어요,,"가성비 좋고 맛있어요, 소주 한병하기 좋네요~",맛있음
"제 당골집입니다 ! 너무 맜있어요!
지인들에게도 항상 추천하는곳입니다 ㅎ
오늘은 혼자 와서 먹었네요 ^^",똠양꿈 쌀국수 맛있어요!! 다음에 또 먹을거같어요,"연어덮밥에서 연어 두께 두꺼워서 좋은데 밥 양이 적어요!! 제가 양 적은 편인데 적다고 느낄 정도면 가성비 좋은 건 아닌 것 같은데, 맛은 진짜 좋았습니다! 제가 좋아하는 간장 베이스 소스!! 감동햇어요","허어어.. ?.?? 너무나 맛있던 유케동!
육회비빔밥 전문집에서 먹고 실망한 적도 많은데, 일식집에서 기대 이상이네요!
신촌에서 밥집 고민되면 돈부리모노로 향할 것 같습니다!!",,,,맛있음,국물도 끝내주고 닭상태도 좋네요 김치도 맛있고 정말 잘 먹고갑니다!!,"요근래 이만한 밥도둑을 본적이 없습니다..
요 갈비찜이면 밥두그릇은 뚝딱이네요. 너무 맛있었습니다!!!!!
양념도 짜지않고 간이 딱 되어서 입맛을 돋구는 맛..ㅎㅎ 너무 잘먹고갑니다~","건강한 샐러드 한끼로 좋아요
커스텀도 가능해서 굿굿",,오적한상 먹었는데 정말 너무 푸짐해요!!! 오징어튀김 오징어가 크고 쫀득하고 맛나요!! 오징어 볶음도 양파가 신선하면서 비벼먹으면 밥도둑이고 수육도 부들부들해요!! 거의 세네명 먹어도 괜찮을 푸짐한 양이에요??,Good
물 뜨러갈 때 주방 상태보고 입맛 뚝 떨어졌어요..밥도 오래된 냄새나고 알도 다 죽어서 못먹었어요..집에서도 이렇게 만들면 욕먹을 것 같은데 돈주고 먹는건 진짜 오바입니다..,맛있어요,별로,"말해모해 이미 너무 유명한 돈부리모노

사장님이신지 서빙해주시는 분도 너무 친절해서 좋았구요 혼밥도 편~하게 할 수 있어서 좋았습니다! 가격도 좋구 양도 많아서 학생들에게 갓성비로 유명한 곳이에요!

사진이 4000원짜리 반모밀이라면 믿기십니까..",,,여기 오래됐는데 맛있어요! 사람들 매번 웨이팅 하더라구요?! 분위기 아늑한데 테이블 수 은근 많아서 좋은 것 같아요:) 간맥하기 좋습니당,맛있어용,여기진짜맛도리탕임,"양도 많고 맛도 있어서 너무 좋아하는 음식점 중이 한곳입니다
세트로 먹으면 진짜 배부르게 먹고와요~!! 셀프주먹밥이랑 같이 먹으면 꿀맛ㅎㅎ
다음에 또 먹으러 올게요~^^",맛있게 잘먹었습니다,,"양도 많고 가성비 너무 좋아요 ! 반찬이랑 스무디 등등 완전 짱 !
자주 올 듯 합니다 ㅎㅎ",화로상회 is 뭔들.. 갈때마다 만족스럽게 먹고 갑니다 가성비 최고 !!!! 번창하세요 !!??
"이 샤오롱바오가 맛있다면 샤오롱바오를 안먹어본겁니다. 맛있을수가 없어요. 냉동이라 고기 단단하고 국물이 없습니다.

고향만두가 더 낫네요.

가격은 괜찮지만 그게 전부입니다","장소가 옮겨왔네요~^^훨씬 넓어지고 좋아요
새로운메뉴 볶음밥등장~근데 고기가 좀짜요~
다른메뉴는 다 그대로~",다이어터라 적게 먹는 편인데도 불구하고 양이 넘 적었어요 가성비는 아닌듯. 하지만 넘 친절하시고 연러도 두툼해서 맛있었어요,친절합니다,,,맛나요,너무너무 맛있어용 !!!!,"Yam yam
맛있어요",양 많고 맛있어요!,늘 알차고 맛있어요????,,,꿀맛
